"Reference","Quantity","Value","Footprint","Manufacturer","MPN"
"C1","1","C_100n_100V_0805","C_0805_2012Metric","Samsung Electro-Mechanics","CL21B104KCFNNNE"
"C3 C17","2","C_4u7_1210_100V","C_1210_3225Metric","TDK","CGA6M3X7S2A475K200AB"
"C4 C5 C18 C19","4","C_2u2_1210","C_1210_3225Metric","TDK","C3225X7R2A225K230AB"
"C6 C8 C20 C22","4","C_100n_100V_X7R_0603","C_0603_1608Metric","KEMET","C0603C104J1RACTU"
"C7 C21","2","C_3n3_0402","C_0402_1005Metric","KEMET","C0402C332K5RAC"
"C9 C10 C23 C24","4","C_47u_25V_1206","C_1206_3216Metric","TDK","C3216X5R1E476M160AC"
"C11 C13 C15 C29 C33","5","C_4u7_25V_0402","C_0402_1005Metric","Murata","GRM155C61E475ME15J"
"C12 C31","2","C_18p_0402","C_0402_1005Metric","Samsung Electro-Mechanics","CL05C180JB51PNC"
"C14 C30","2","C_100n_16V_X7R_0402","C_0402_1005Metric","KEMET","C0402C104J4RAC7411"
"C25 C27 C28","3","C_10u_0402","C_0402_1005Metric","YAGEO","CC0402MRX5R5BB106"
"C26 C32 C34 C35 C36","5","C_100n_0402","C_0402_1005Metric","Murata","GRM155R61H104KE14D"
"C37","1","C_10n_0603","C_0603_1608Metric","AVX","06031C103JAT2A"
"C40 C41 C42 C43 C44 C45","6","C_1n0_0402","C_0402_1005Metric","Würth Elektronik","885012005018"
"D1 D2","2","CD-MMBL110S","DFN3538","Bourns","CD-MMBL110S"
"D3","1","PTVS58VS1UR,115","D_SOD-123F","Nexperia","PTVS58VS1UR,115"
"D4","1","PDS760","PowerDI5","Diodes Incorporated","PDS760-13"
"D5","1","1N5819HW-7-F","D_SOD-123","Diodes Incorporated","1N5819HW-7-F"
"D6","1","RB521S30T1G","SOD-523","ON Semiconductor","RB521S30T1G"
"FB1 FB2 FB3","3","FB_600Z_0.5A_Murata-BLM18AG_0603","FB_0603_1608Metric","Murata","BLM18AG601SN1D"
"J1","1","Bus_RJ45_5-2337992-8","RJ45_X-2337992-8_Horizontal","TE Connectivity","5-2337992-8"
"J2","1","Bus_RJ45_7499111121A","RJ45_7499111121A_Horizontal","Würth Elektronik","7499111121A"
"J3","1","USB-C_GCT_USB4105-GF-A","USB-C_Receptacle_GCT_USB4105-GF-A","GCT","USB4105-GF-A"
"L1","1","L_6u8_6.1A_MPS-MPL-AL5050","L_MPS-MPL-AL5050","Monolithic Power Systems","MPL-AL5050-6R8"
"L2","1","L_33u_0.42A_WE-TPC-3816","L_WE-TPC-3816","Würth Elektronik","744031330"
"Q1","1","PJE138K","SOT-523","PANJIT","PJE138K_R1_00001"
"R1","1","R_1k3_0603","R_0603_1608Metric","Bourns","CR0603-FX-1301ELF"
"R2","1","R_24k9_0402","R_0402_1005Metric","Bourns","CR0402-FX-2492GLF"
"R4 R7 R32","3","R_10k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1002GLF"
"R5","1","R_49k9_0402","R_0402_1005Metric","Bourns","CR0402-FX-4992GLF"
"R6 R21 R41 R42 R44 R47 R50 R51 R53 R54 R55 R56 R57 R60 R61 R63","16","R_0R_0402","R_0402_1005Metric","Panasonic","ERJ2GE0R00X"
"R8","1","R_470k_0402","R_0402_1005Metric","Bourns","CR0402-FX-4703GLF"
"R9 R24","2","R_27k_0402","R_0402_1005Metric","Bourns","CR0402-FX-2702GLF"
"R10 R28 R31","3","R_100k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1003GLF"
"R13 R25","2","R_200k_0402","R_0402_1005Metric","Bourns","CR0402-FX-2003GLF"
"R14","1","R_7k68_0402","R_0402_1005Metric","Bourns","CR0402-FX-7681GLF"
"R15 R16","2","R_2k7_0402","R_0402_1005Metric","Bourns","CR0402-FX-2701GLF"
"R17 R22 R23","3","R_4k7_0402","R_0402_1005Metric","Bourns","CR0402-FX-4701GLF"
"R18","1","R_17k4_0402","R_0402_1005Metric","Bourns","CR0402-FX-1742GLF"
"R19","1","R_12k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1202GLF"
"R20 R43 R59","3","R_1k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1001GLF"
"R26","1","R_59k_0402","R_0402_1005Metric","Bourns","CR0402-FX-5902GLF"
"R29","1","R_33k_0402","R_0402_1005Metric","Bourns","CR0402-FX-3302GLF"
"R46 R48","2","R_200R_0402","R_0402_1005Metric","Bourns","CR0402-FX-2000GLF"
"R49","1","R_63R4_0603","R_0603_1608Metric","Bourns","CR0603-FX-63R4ELF"
"R52","1","R_0R15_2010","R_2010_5025Metric","Bourns","CR2010-FX-0R15ELF"
"R58","1","R_1M_0402","R_0402_1005Metric","Bourns","CR0402-FX-1004GLF"
"R64","1","R_90R9_0603","R_0603_1608Metric","Bourns","CR0603-FX-90R9ELF"
"SW1","1","CAS-120TA","Switch_Slide_CAS-120TA","Nidec Components","CAS-120TA"
"U1","1","TPS2372-3RGWR","VQFN-20_5x5x1mm_P0.65mm","Texas Instruments","TPS2372-3RGWR"
"U2 U7","2","LV14540DDAR","SOIC-8-1EP_3.9x4.9x1.75mm_P1.27mm_EP_vias","Texas Instruments","LV14540DDAR "
"U3","1","INA230AIRGTR","VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm","Texas Instruments","INA230AIRGTR"
"U4","1","IEA48003A280V-001-R","IEA48003A280V-001-R","TDK-Lambda","IEA48003A280V-001-R"
"U5","1","FT4232H_VQFN","QFN-56-1EP_8x8mm_P0.5mm","FTDI Chip","FT4232H-56Q-REEL"
"U6","1","TPS65987DDHRSHR","IC_TPS65987DDHRSHR","Texas Instruments","TPS65987DDHRSHR"
"U8","1","74CBTLV3257_VQFN","DHVQFN-16-1EP_2.5x3.5mm_P0.5mm","Nexperia","74CBTLV3257BQ,115"
"U9","1","W25Q80DV_SOIC-8","SOIC-8_3.9x4.9x1.75mm_P1.27mm","Winbond","W25Q80DVSNIG"
"U10","1","TPD4E05U06QDQARQ1","USON-10_2.5x1mm_P0.5mm","Texas Instruments","TPD4E05U06QDQARQ1"
"Y1","1","Resonator_12MHz_ABM8G","Resonator_SMD_Abracon_ABM8G_3.2x2.5mm","Abracon","ABM8G-12.000MHZ-18-D2Y-T"
